Keyword,Score
bagi,3.168605024805568
simbol,3.1645178963360876
lambe,3.16011086857497
yesus,3.1574853743419586
berkah,3.1479649371662104
sujud,3.1426520392876176
sukur,3.1426520392876176
percaya,3.133970972064349
februari,3.1228102896188905
stimulasi,3.1199829413688143
teman,3.117709684508612
nian,3.1136439417985304
paring,3.0921070895363734
umpat,3.0920250989261033
tahap,3.0893338952710483
hiu,3.0813798329045508
miris,3.077234946479328
komposisi,3.073483304070358
beluk,3.066966673797029
rancang,3.0633899254709522
rekam,3.0571354184294846
jalan,3.0534984041497526
muslim,3.048087894509023
on,3.046142818060818
plan,3.045787359171041
nama,3.045707712110498
gemilang,3.041159805665315
bosan,3.04071547124364
suka,3.038292759303712
tap,3.02957894069507
langka,3.029395880455173
nrima,3.0278201518981547
latih,3.023629074914686
pokok,3.0227554583999394
alamat,3.0221682377880557
saung,3.021705378105123
teko,3.021705378105123
tenaga,3.020070822247396
dengar,3.0196124410961613
milad,3.017554753264506
dang,3.0174328852435384
gerbang,3.0162675580991443
lampung,3.011183026154562
buket,3.009532039762942
tentang,3.0021948190811845
sumedang,3.0009723409008187
pedas,2.9988672063620774
tabur,2.9988672063620774
senang,2.998810854918439
kalah,2.9929385201775616
darurat,2.9877256745463514
laba,2.9873582233459794
bau,2.986692259036081
bangsa,2.9804486040840064
prasmanan,2.9662393339375224
basi,2.961634608843945
halim,2.9609177875296577
mula,2.95907038194695
spasi,2.956245404508806
yayasan,2.9521200569649215
imunisasi,2.942850582779223
air,2.936298093030451
lalu,2.9301163421031604
transaksi,2.927417129144768
jurnalistik,2.9268321078106894
menye,2.9268302689224583
pecat,2.925458516697799
ladang,2.9215689799044884
tindak,2.9196931396484125
pengaruh,2.9176619809969746
saldo,2.9158135158299174
panutan,2.910792565369931
normal,2.909804764136642
juang,2.9092066420549894
guru,2.9012527180623624
terbit,2.9004538413701466
otomatis,2.8990286415190263
ilmu,2.89601001225083
seksama,2.8913249980891726
sms,2.8901796907599193
canda,2.8856664666288436
jari,2.878818155590137
restitusi,2.878058202391543
tidur,2.875794231777502
provinsi,2.869226887895801
tiket,2.855489034531922
komando,2.8452102555279257
jajan,2.842687859275631
buru,2.8394617643873072
kursus,2.8392359600418398
kira,2.838620848100991
topeng,2.8345750387189232
organisasi,2.8342688413258963
ramadan,2.8326950384028535
sanksi,2.827482509680543
cok,2.8201684710163466
abal,2.8178599233261075
damai,2.8173105152597113
melulu,2.8153893673573647
objek,2.8115790224798425
moa,2.8115790224798425
patung,2.8115790224798425
anggap,2.803080366550807
sarana,2.800409537175333
tegal,2.7987844443974605
hilal,2.7987844443974605
tempuh,2.7971830633753156
tepung,2.7968886499632726
angka,2.7921211473961502
cus,2.7847216409195212
honorer,2.7843367261839393
koordinasi,2.7763694929646556
sungut,2.774296700980556
santap,2.7677994056352047
colek,2.7677139742715315
api,2.759952185561046
sedekah,2.7565042151826225
suket,2.7564744501771026
konsolidasi,2.7480614022767034
ex,2.747596536205159
mei,2.74244655052953
takut,2.7413176787346263
selau,2.7392014968310963
pondoh,2.7374460465188846
kait,2.73202353171523
pt,2.7317957323262267
rabu,2.726675843766456
detik,2.7188692710494955
fatal,2.715120321218517
miring,2.7141956939557796
kapak,2.7135781660446407
repot,2.707472647905038
referensi,2.7072014284373678
november,2.706677447009571
temu,2.7019052011375577
buset,2.6978589212876045
esa,2.697472180955082
insyaallah,2.6924351561408026
komandan,2.68927982402414
keliru,2.6889495720446432
gebrak,2.6865058950427154
gelandang,2.6854390023835517
darwis,2.6854390023835517
asli,2.670451382876686
perut,2.6684157936688786
kagum,2.6650554321962776
bodong,2.6600531110835566
kurus,2.6587538922429315
sekadau,2.655099148652342
step,2.6543119656204945
ton,2.6486645513106892
hubung,2.6468377167258454
sigap,2.6358541886763898
invalid,2.633201857731981
cerdas,2.632664446776407
unifikasi,2.6313078583504352
bel,2.6221603971268976
laparoskopi,2.61974244880924
periksa,2.6193910014597686
dasar,2.61825369989066
subuh,2.616982556490064
yu,2.6169423289901026
warna,2.6151505808468736
bolak,2.6148932851427507
hirup,2.61288055598154
sewa,2.6120750753956044
tambun,2.610886241359664
tua,2.609277795820339
halaman,2.6081139393284567
tinju,2.601047791273659
investasi,2.5985612008131262
sembari,2.5956729566206227
jeda,2.593150150331809
kuas,2.590217403127152
notifikasi,2.5751296479980907
dokumen,2.574229614744052
klinik,2.5716400515582496
bawah,2.567839038215393
geraham,2.5601316631115387
luar,2.557594370034643
naik,2.555974578043485
garda,2.5509066599190886
maha,2.5502876850232603
steril,2.5494250042598825
nominal,2.5454937530363972
gajih,2.5420557087441975
apes,2.539292605226677
domino,2.5377915354057654
dongkrak,2.5377915354057654
mahal,2.527194793366754
tangkap,2.519507514039469
taung,2.5157464370496294
pertiwi,2.513376200415303
handal,2.510547987089882
jejaring,2.510341766478019
pandu,2.50696212377366
fisioterapi,2.503451159684081
berat,2.5021973061273695
siksa,2.502173557538232
